"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"0500000US48487","Wilbarger County, Texas","12887","3734","9153","8719","7012","1013","96","566","0","32","434","410","132","178","23","9","45","9","0","0","0","1","0","1","0","12","0","19","9","0","0","7","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","5","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48489","Willacy County, Texas","20164","17611","2553","2493","1805","445","47","160","2","34","60","38","6","8","0","0","20","1","1","0","0","2","0","0","0","0","0","15","1","3","0","0","6","0","1","0","1","0","0","0","0","0","0","0","0","0","0","3","4","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0"
"0500000US48491","Williamson County, Texas","609017","147088","461929","434324","336410","38557","1659","53982","592","3124","27605","26050","5254","7315","6599","390","4746","366","444","68","375","71","5","22","235","153","7","1452","459","252","8","132","190","19","46","277","50","0","2","1","11","2","0","0","0","0","0","3","93","40","3","11","3","16","0","9","1","0","2","4","1","0","3","0","10","9","1","0","0","0","0","0","0"
"0500000US48493","Wilson County, Texas","49753","19232","30521","29158","27877","693","148","229","24","187","1363","1294","141","609","173","14","320","9","9","4","10","2","0","0","3","0","0","56","23","4","0","2","6","0","8","12","1","0","0","0","0","0","0","0","0","0","0","0","10","3","0","6","1","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","0","0","0","0","0"
"0500000US48495","Winkler County, Texas","7791","4732","3059","2965","2702","139","38","77","0","9","94","86","11","48","8","0","15","1","0","0","0","0","0","0","0","3","0","8","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48497","Wise County, Texas","68632","13694","54938","52182","50495","657","474","372","12","172","2756","2668","321","1632","180","24","476","19","7","0","5","1","0","1","2","0","0","85","40","5","0","14","7","6","4","4","0","0","0","0","1","0","2","0","2","0","0","0","3","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48499","Wood County, Texas","44843","4894","39949","38160","35906","1658","227","230","1","138","1789","1732","290","989","87","6","338","4","6","4","0","6","0","0","1","1","0","47","27","3","0","14","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","2","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48501","Yoakum County, Texas","7694","4968","2726","2626","2488","55","22","46","0","15","100","96","25","46","5","0","11","0","6","0","0","0","0","0","0","3","0","4","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48503","Young County, Texas","17867","3508","14359","13786","13409","174","79","86","0","38","573","562","89","336","31","9","85","3","0","0","5","0","0","0","3","0","1","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48505","Zapata County, Texas","13889","12999","890","844","796","9","7","16","0","16","46","40","4","14","6","0","11","1","0","1","0","0","0","0","3","0","0","5","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US48507","Zavala County, Texas","9670","8944","726","683","572","67","21","19","1","3","43","43","11","13","2","4","6","0","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0400000US48","Texas","29145505","11441717","17703788","16817693","11584597","3444712","85425","1561518","27857","113584","886095","835478","185160","266895","155868","9479","139378","23290","16569","3231","17944","2257","340","940","9581","4221","325","45808","18196","6846","828","4412","4562","631","1502","4990","1198","128","571","109","596","628","332","76","55","20","10","118","4170","1569","194","1001","384","288","28","393","81","2","96","67","23","5","39","0","581","305","203","30","21","16","6","58","58"
