"","disp_key","rpt_date","submit_number","facility_no","field_pool","opno","dis_sold","dis_reinject","flare_gtr","flare_lt","pilot_purge","assist_gas","used","d_other","tr_from","tr_to","ng_leq","purch_gas","amnd_rpt","cmmnt","dt_mod"
"5899",44223,"11/01/16 00:00:00",1330000080,13,0,124250,479744,214,0,12,0,0,26570,0,0,0,0,0,0,"Amount Injected from Kenai and CLU   214 mcf;              Amount Injected from non Kenai and CLU   0 mcf;   ","12/20/16 15:05:01"
"5900",44224,"11/01/16 00:00:00",1330000012,13,0,124250,1949967,0,0,48,0,0,106440,0,173566,0,0,0,0,"Amount Transferred for Compression & Sale  173566 mcf; Amount Injected into Kenai Gas Storage  214 mcf; Sterling Pool 6 Production Sold  479744 mcf; ","12/20/16 15:05:01"
"5901",44225,"11/01/16 00:00:00",1330000013,14,0,124250,0,0,0,0,0,0,540,0,0,-173565,0,0,0,"173,565 mcf transferred to KFG for compression (8344 mcf) and sales (165221 mcf)","12/20/16 15:05:01"
"5902",43858,"07/01/16 00:00:00",2310000002,50,0,111530,297,0,5202,526,383,0,10874,0,0,0,0,2330,0,"0","01/30/17 08:27:16"
"5903",44191,"11/01/16 00:00:00",290000037,60,0,117850,0,0,1240,1012,2554,0,119792,-106,0,0,0,16842,0,"Fuel gas was purchased from CPAI. Distribution was ass follows. Fuel Gas: 16842 MSCF for fuel gas. -106 MCF metering/rounding factor.","12/19/16 13:58:13"
"5904",44244,"11/01/16 00:00:00",2310000002,50,0,111530,4493,0,64,284,414,0,16263,0,0,0,0,0,0,"0","12/21/16 07:14:07"
"5905",44245,"12/01/16 00:00:00",230000002,19,0,131300,12335,0,0,0,0,0,0,0,0,0,0,0,0,"0","01/19/17 12:36:52"
"5906",43865,"07/01/16 00:00:00",1330000029,41,0,116525,0,0,0,0,109,0,4268,0,0,-17665,0,0,0,"","08/24/16 07:55:52"
"5907",43866,"07/01/16 00:00:00",1330000027,10,0,116525,0,0,0,206,25,0,8606,0,0,-9902,0,0,0,"","08/24/16 07:55:52"
"5908",43867,"07/01/16 00:00:00",1330000039,54,0,116525,0,0,0,0,0,0,0,0,0,0,0,0,0,"","08/24/16 07:55:52"
"5909",43868,"07/01/16 00:00:00",2310000003,58,0,116525,124429,0,0,0,0,0,16869,0,27567,0,0,0,0,"","08/24/16 07:55:52"
"5910",43869,"07/01/16 00:00:00",1330000026,10,0,116525,270,0,0,0,0,0,33,0,0,0,0,0,0,"","08/24/16 07:55:52"
